sample-id	Genotype	YEAR	Replicates	Day	Treatment
MBC37P	LRV_0_1	DM2015	1	D1	CO
MBC38P	LRV_0_1	DM2015	2	D1	CO
MBC39P	LRV_0_1	DM2015	3	D1	CO
MBC40P	LRV_0_1	DM2015	1	D2	CO
MBC41P	LRV_0_1	DM2015	2	D2	CO
MBC42P	LRV_0_1	DM2015	3	D2	CO
MBC43P	LRV_0_1	DM2015	1	D3	CO
MBC44P	LRV_0_1	DM2015	2	D3	CO
MBC45P	LRV_0_1	DM2015	3	D3	CO
MBC46P	LRV_8-5_3	DM1980	1	D1	CO
MBC47P	LRV_8-5_3	DM1980	2	D1	CO
MBC48P	LRV_8-5_3	DM1980	3	D1	CO
MBC49P	LRV_8-5_3	DM1980	1	D2	CO
MBC50P	LRV_8-5_3	DM1980	2	D2	CO
MBC51P	LRV_8-5_3	DM1980	3	D2	CO
MBC52P	LRV_8-5_3	DM1980	1	D3	CO
MBC53P	LRV_8-5_3	DM1980	2	D3	CO
MBC54P	LRV_8-5_3	DM1980	3	D3	CO
MBC55P	LRV_12_3	DM1960	1	D1	CO
MBC56P	LRV_12_3	DM1960	2	D1	CO
MBC57P	LRV_12_3	DM1960	3	D1	CO
MBC58P	LRV_12_3	DM1960	1	D2	CO
MBC59P	LRV_12_3	DM1960	2	D2	CO
MBC60P	LRV_12_3	DM1960	3	D2	CO
MBC61P	LRV_12_3	DM1960	1	D3	CO
MBC62P	LRV_12_3	DM1960	2	D3	CO
MBC63P	LRV_12_3	DM1960	3	D3	CO
MBC64P	LR2_36_1	DM1900	1	D1	CO
MBC29T	LR2_36_1	DM1900	2	D1	CO
MBC30T	LR2_36_1	DM1900	3	D1	CO
MBC31T	LR2_36_1	DM1900	1	D2	CO
MBC32T	LR2_36_1	DM1900	2	D2	CO
MBC33T	LR2_36_1	DM1900	3	D2	CO
MBC34T	LR2_36_1	DM1900	1	D3	CO
MBC35T	LR2_36_1	DM1900	2	D3	CO
MBC36T	LR2_36_1	DM1900	3	D3	CO
MBP37	LRV_0_1	DM2015	1	D1	PFOS
MBP38	LRV_0_1	DM2015	2	D1	PFOS
MBP39	LRV_0_1	DM2015	3	D1	PFOS
MBP40	LRV_0_1	DM2015	1	D2	PFOS
MBP41	LRV_0_1	DM2015	2	D2	PFOS
MBP42	LRV_0_1	DM2015	3	D2	PFOS
MBP43	LRV_0_1	DM2015	1	D3	PFOS
MBP44	LRV_0_1	DM2015	2	D3	PFOS
MBP45	LRV_0_1	DM2015	3	D3	PFOS
MBP46	LRV_8-5_3	DM1980	1	D1	PFOS
MBP47	LRV_8-5_3	DM1980	2	D1	PFOS
MBP48	LRV_8-5_3	DM1980	3	D1	PFOS
MBP49	LRV_8-5_3	DM1980	1	D2	PFOS
MBP50	LRV_8-5_3	DM1980	2	D2	PFOS
MBP51	LRV_8-5_3	DM1980	3	D2	PFOS
MBP52	LRV_8-5_3	DM1980	1	D3	PFOS
MBP53	LRV_8-5_3	DM1980	2	D3	PFOS
MBP54	LRV_8-5_3	DM1980	3	D3	PFOS
MBP55	LRV_12_3	DM1960	1	D1	PFOS
MBP56	LRV_12_3	DM1960	2	D1	PFOS
MBP57	LRV_12_3	DM1960	3	D1	PFOS
MBP58	LRV_12_3	DM1960	1	D2	PFOS
MBP59	LRV_12_3	DM1960	2	D2	PFOS
MBP60	LRV_12_3	DM1960	3	D2	PFOS
MBP61	LRV_12_3	DM1960	1	D3	PFOS
MBP62	LRV_12_3	DM1960	2	D3	PFOS
MBP63	LRV_12_3	DM1960	3	D3	PFOS
MBP64	LR2_36_1	DM1900	1	D1	PFOS
MBP65	LR2_36_1	DM1900	2	D1	PFOS
MBP66	LR2_36_1	DM1900	3	D1	PFOS
MBP67	LR2_36_1	DM1900	1	D2	PFOS
MBP68	LR2_36_1	DM1900	2	D2	PFOS
MBP69	LR2_36_1	DM1900	3	D2	PFOS
MBP70	LR2_36_1	DM1900	1	D3	PFOS
MBP71	LR2_36_1	DM1900	2	D3	PFOS
MBP72	LR2_36_1	DM1900	3	D3	PFOS
