sample-id	Genotype	YEAR	Replicates	Day	Treatment
MBC1S	LRV_0_1	DM2015	1	D1	CO
MBC2S	LRV_0_1	DM2015	2	D1	CO
MBC3S	LRV_0_1	DM2015	3	D1	CO
MBC4S	LRV_0_1	DM2015	1	D2	CO
MBC5S	LRV_0_1	DM2015	2	D2	CO
MBC6S	LRV_0_1	DM2015	3	D2	CO
MBC7AS	LRV_0_1	DM2015	1	D3	CO
MBC8S	LRV_0_1	DM2015	2	D3	CO
MBC9S	LRV_0_1	DM2015	3	D3	CO
MBC10AS	LRV_8-5_3	DM1980	1	D1	CO
MBC11AS	LRV_8-5_3	DM1980	2	D1	CO
MBC12A	LRV_8-5_3	DM1980	3	D1	CO
MBC13AS	LRV_8-5_3	DM1980	1	D2	CO
MBC14AS	LRV_8-5_3	DM1980	2	D2	CO
MBC15AS	LRV_8-5_3	DM1980	3	D2	CO
MBC16AS	LRV_8-5_3	DM1980	1	D3	CO
MBC17AS	LRV_8-5_3	DM1980	2	D3	CO
MBC18AS	LRV_8-5_3	DM1980	3	D3	CO
MBC19AS	LRV_12_3	DM1960	1	D1	CO
MBC20AS	LRV_12_3	DM1960	2	D1	CO
MBC21S	LRV_12_3	DM1960	3	D1	CO
MBC22AS	LRV_12_3	DM1960	1	D2	CO
MBC23AS	LRV_12_3	DM1960	2	D2	CO
MBC24S	LRV_12_3	DM1960	3	D2	CO
MBC25A	LRV_12_3	DM1960	1	D3	CO
MBC26S	LRV_12_3	DM1960	2	D3	CO
MBC27S	LRV_12_3	DM1960	3	D3	CO
MBC28AS	LR2_36_1	DM1900	1	D1	CO
MBC29AS	LR2_36_1	DM1900	2	D1	CO
MBC30AS	LR2_36_1	DM1900	3	D1	CO
MBC31AS	LR2_36_1	DM1900	1	D2	CO
MBC32S	LR2_36_1	DM1900	2	D2	CO
MBC33S	LR2_36_1	DM1900	3	D2	CO
MBC34AS	LR2_36_1	DM1900	1	D3	CO
MBC35S	LR2_36_1	DM1900	2	D3	CO
MBC36S	LR2_36_1	DM1900	3	D3	CO
MBAS1	LRV_0_1	DM2015	1	D1	SEN
MBAS2		DM2015	2	D1	SEN
MBAS3	LRV_0_1	DM2015	3	D1	SEN
MBAS4	LRV_0_1	DM2015	1	D2	SEN
MBT5	LRV_0_1	DM2015	2	D2	SEN
MBT6	LRV_0_1	DM2015	3	D2	SEN
MBAS7	LRV_0_1	DM2015	1	D3	SEN
MBT8	LRV_0_1	DM2015	2	D3	SEN
MBT9	LRV_0_1	DM2015	3	D3	SEN
MBAS10	LRV_8-5_3	DM1980	1	D1	SEN
MBAS11	LRV_8-5_3	DM1980	2	D1	SEN
MBAS12	LRV_8-5_3	DM1980	3	D1	SEN
MBAS13		DM1980	1	D2	SEN
MBAS14	LRV_8-5_3	DM1980	2	D2	SEN
MBAS15	LRV_8-5_3	DM1980	3	D2	SEN
MBAS16	LRV_8-5_3	DM1980	1	D3	SEN
MBAS17	LRV_8-5_3	DM1980	2	D3	SEN
MBAS18	LRV_8-5_3	DM1980	3	D3	SEN
MBAS19	LRV_12_3	DM1960	1	D1	SEN
MBAS20	LRV_12_3	DM1960	2	D1	SEN
MBAS21		DM1960	3	D1	SEN
MBAS22	LRV_12_3	DM1960	1	D2	SEN
MBT23	LRV_12_3	DM1960	2	D2	SEN
MBT24	LRV_12_3	DM1960	3	D2	SEN
MBAS25	LRV_12_3	DM1960	1	D3	SEN
MBT26	LRV_12_3	DM1960	2	D3	SEN
MBT27	LRV_12_3	DM1960	3	D3	SEN
MBAS28		DM1900	1	D1	SEN
MBAS29	LR2_36_1	DM1900	2	D1	SEN
MBAS30	LR2_36_1	DM1900	3	D1	SEN
MBAS31	LR2_36_1	DM1900	1	D2	SEN
MBAS32	LR2_36_1	DM1900	2	D2	SEN
MBAS33		DM1900	3	D2	SEN
MBAS34	LR2_36_1	DM1900	1	D3	SEN
MBT34	LR2_36_1	DM1900	2	D3	SEN
MBA36	LR2_36_1	DM1900	3	D3	SEN
