sample-id	Genotype	YEAR	Replicates	Day	Treatment
MBC1S	LRV_0_1	DM2015	1	D1	CO
MBC2S	LRV_0_1	DM2015	2	D1	CO
MBC3S	LRV_0_1	DM2015	3	D1	CO
MBC4S	LRV_0_1	DM2015	1	D2	CO
MBC5S	LRV_0_1	DM2015	2	D2	CO
MBC6S	LRV_0_1	DM2015	3	D2	CO
MBC7AS	LRV_0_1	DM2015	1	D3	CO
MBC8S	LRV_0_1	DM2015	2	D3	CO
MBC9S	LRV_0_1	DM2015	3	D3	CO
MBC10AS	LRV_8-5_3	DM1980	1	D1	CO
MBC11AS	LRV_8-5_3	DM1980	2	D1	CO
MBC12A	LRV_8.5_3	DM1980	3	D1	CO
MBC13AS	LRV_8-5_3	DM1980	1	D2	CO
MBC14AS	LRV_8-5_3	DM1980	2	D2	CO
MBC15AS	LRV_8-5_3	DM1980	3	D2	CO
MBC16AS	LRV_8-5_3	DM1980	1	D3	CO
MBC17AS	LRV_8-5_3	DM1980	2	D3	CO
MBC18AS	LRV_8-5_3	DM1980	3	D3	CO
MBC19AS	LRV_12_3	DM1960	1	D1	CO
MBC20AS	LRV_12_3	DM1960	2	D1	CO
MBC21S	LRV_12_3	DM1960	3	D1	CO
MBC22AS	LRV_12_3	DM1960	1	D2	CO
MBC23AS	LRV_12_3	DM1960	2	D2	CO
MBC24S	LRV_12_3	DM1960	3	D2	CO
MBC25A	LRV_12_3	DM1960	1	D3	CO
MBC26S	LRV_12_3	DM1960	2	D3	CO
MBC27S	LRV_12_3	DM1960	3	D3	CO
MBC28AS	LR2_36_1	DM1900	1	D1	CO
MBC29AS	LR2_36_1	DM1900	2	D1	CO
MBC30AS	LR2_36_1	DM1900	3	D1	CO
MBC31AS	LR2_36_1	DM1900	1	D2	CO
MBC32S	LR2_36_1	DM1900	2	D2	CO
MBC33S	LR2_36_1	DM1900	3	D2	CO
MBC34AS	LR2_36_1	DM1900	1	D3	CO
MBC35S	LR2_36_1	DM1900	2	D3	CO
MBC36S	LR2_36_1	DM1900	3	D3	CO
MBAS1	LRV_0_1	DM2015	1	D1	ARS
MBAS2		DM2015	2	D1	ARS
MBAS3	LRV_0_1	DM2015	3	D1	ARS
MBAS4	LRV_0_1	DM2015	1	D2	ARS
MBT5	LRV_0_1	DM2015	2	D2	ARS
MBT6	LRV_0_1	DM2015	3	D2	ARS
MBAS7	LRV_0_1	DM2015	1	D3	ARS
MBT8	LRV_0_1	DM2015	2	D3	ARS
MBT9	LRV_0_1	DM2015	3	D3	ARS
MBAS10	LRV_8-5_3	DM1980	1	D1	ARS
MBAS11	LRV_8-5_3	DM1980	2	D1	ARS
MBAS12	LRV_8-5_3	DM1980	3	D1	ARS
MBAS13		DM1980	1	D2	ARS
MBAS14	LRV_8-5_3	DM1980	2	D2	ARS
MBAS15	LRV_8-5_3	DM1980	3	D2	ARS
MBAS16	LRV_8-5_3	DM1980	1	D3	ARS
MBAS17	LRV_8-5_3	DM1980	2	D3	ARS
MBAS18	LRV_8-5_3	DM1980	3	D3	ARS
MBAS19	LRV_12_3	DM1960	1	D1	ARS
MBAS20	LRV_12_3	DM1960	2	D1	ARS
MBAS21		DM1960	3	D1	ARS
MBAS22	LRV_12_3	DM1960	1	D2	ARS
MBT23	LRV_12_3	DM1960	2	D2	ARS
MBT24	LRV_12_3	DM1960	3	D2	ARS
MBAS25	LRV_12_3	DM1960	1	D3	ARS
MBT26	LRV_12_3	DM1960	2	D3	ARS
MBT27	LRV_12_3	DM1960	3	D3	ARS
MBAS28		DM1900	1	D1	ARS
MBAS29	LR2_36_1	DM1900	2	D1	ARS
MBAS30	LR2_36_1	DM1900	3	D1	ARS
MBAS31	LR2_36_1	DM1900	1	D2	ARS
MBAS32	LR2_36_1	DM1900	2	D2	ARS
MBAS33		DM1900	3	D2	ARS
MBAS34	LR2_36_1	DM1900	1	D3	ARS
MBT34	LR2_36_1	DM1900	2	D3	ARS
MBA36	LR2_36_1	DM1900	3	D3	ARS
