sample-id	Genotype	Genotype	Replicates	Day	Treatment
MBC73D	LRV_0_1	DM2015	1	1	CO
MBC74D	LRV_0_1	DM2015	2	1	CO
MBC75D	LRV_0_1	DM2015	3	1	CO
MBC76D	LRV_0_1	DM2015	1	2	CO
MBC77D	LRV_0_1	DM2015	2	2	CO
MBC78D	LRV_0_1	DM2015	3	2	CO
MBC79D	LRV_0_1	DM2015	1	3	CO
MBC80D	LRV_0_1	DM2015	2	3	CO
MBC81D	LRV_0_1	DM2015	3	3	CO
MBC82D	LRV_8-5_3	DM1980	1	1	CO
MBC83D	LRV_8-5_3	DM1980	2	1	CO
MBC84D	LRV_8-5_3	DM1980	3	1	CO
MBC85D	LRV_8-5_3	DM1980	1	2	CO
MBC86D	LRV_8-5_3	DM1980	2	2	CO
MBC87D	LRV_8-5_3	DM1980	3	2	CO
MBC88D	LRV_8-5_3	DM1980	1	3	CO
MBC89D	LRV_8-5_3	DM1980	2	3	CO
MBC90D	LRV_8-5_3	DM1980	3	3	CO
MBC91D	LRV_12_3	DM1960	1	1	CO
MBC92D	LRV_12_3	DM1960	2	1	CO
MBC93D	LRV_12_3	DM1960	3	1	CO
MBC94D	LRV_12_3	DM1960	1	2	CO
MBC95D	LRV_12_3	DM1960	2	2	CO
MBC96D	LRV_12_3	DM1960	3	2	CO
MBC97D	LRV_12_3	DM1960	1	3	CO
MBC98D	LRV_12_3	DM1960	2	3	CO
MBC99D	LR2_36_1	DM1960	3	3	CO
MBC28A	LR2_36_1	DM1900	1	1	CO
MBC29A	LR2_36_1	DM1900	2	1	CO
MBC30A	LR2_36_1	DM1900	3	1	CO
MBC103D	LR2_36_1	DM1900	1	2	CO
MBC32A	LR2_36_1	DM1900	2	2	CO
MBC105D	LR2_36_1	DM1900	3	2	CO
MBC106D	LR2_36_1	DM1900	1	3	CO
MBC107D	LR2_36_1	DM1900	2	3	CO
MBC108D	LRV_0_1	DM1900	3	3	CO
MBD73	LRV_0_1	DM2015	1	1	DI
MBD74	LRV_0_1	DM2015	2	1	DI
MBD75	LRV_0_1	DM2015	3	1	DI
MBD76	LRV_0_1	DM2015	1	2	DI
MBD77	LRV_0_1	DM2015	2	2	DI
MBD78	LRV_0_1	DM2015	3	2	DI
MBD79	LRV_0_1	DM2015	1	3	DI
MBD80	LRV_0_1	DM2015	2	3	DI
MBD81	LRV_8-5_3	DM2015	3	3	DI
MBD82	LRV_8-5_3	DM1980	1	1	DI
MBD83	LRV_8-5_3	DM1980	2	1	DI
MBD84	LRV_8-5_3	DM1980	3	1	DI
MBD85	LRV_8-5_3	DM1980	1	2	DI
MBD86	LRV_8-5_3	DM1980	2	2	DI
MBD87	LRV_8-5_3	DM1980	3	2	DI
MBD88	LRV_8-5_3	DM1980	1	3	DI
MBD89	LRV_8-5_3	DM1980	2	3	DI
MBD90	LRV_12_3	DM1980	3	3	DI
MBD91	LRV_12_3	DM1960	1	1	DI
MBD92	LRV_12_3	DM1960	2	1	DI
MBD93	LRV_12_3	DM1960	3	1	DI
MBD94	LRV_12_3	DM1960	1	2	DI
MBD95	LRV_12_3	DM1960	2	2	DI
MBD96	LRV_12_3	DM1960	3	2	DI
MBD97	LRV_12_3	DM1960	1	3	DI
MBD98	LR2_36_1	DM1960	2	3	DI
MBD99	LR2_36_1	DM1960	3	3	DI
MBD100	LR2_36_1	DM1900	1	1	DI
MBD101	LR2_36_1	DM1900	2	1	DI
MBD102	LR2_36_1	DM1900	3	1	DI
MBD103	LR2_36_1	DM1900	1	2	DI
MBD104	LR2_36_1	DM1900	2	2	DI
MBD105	LR2_36_1	DM1900	3	2	DI
MBD106	LR2_36_1	DM1900	1	3	DI
MBD107	LR2_36_1	DM1900	2	3	DI
MBD108	LR2_36_1	DM1900	3	3	DI
