sample-id	Genotype	YEAR	Replicates	Day	Treatment
MBC1A	LRV_0_1	DM2015	1	D1	CO
MBC2A	LRV_0_1	DM2015	2	D1	CO
MBC3A	LRV_0_1	DM2015	3	D1	CO
MBC4A	LRV_0_1	DM2015	1	D2	CO
MBC5A	LRV_0_1	DM2015	2	D2	CO
MBC6A	LRV_0_1	DM2015	3	D2	CO
MBC7A	LRV_0_1	DM2015	1	D3	CO
MBC8A	LRV_0_1	DM2015	2	D3	CO
MBC9A	LRV_0_1	DM2015	3	D3	CO
MBC10A	LRV_8-5_3	DM1980	1	D1	CO
MBC11A	LRV_8-5_3	DM1980	2	D1	CO
MBC12A	LRV_8.5_3	DM1980	3	D1	CO
MBC13A	LRV_8-5_3	DM1980	1	D2	CO
MBC14A	LRV_8-5_3	DM1980	2	D2	CO
MBC15A	LRV_8-5_3	DM1980	3	D2	CO
MBC16A	LRV_8-5_3	DM1980	1	D3	CO
MBC17A	LRV_8-5_3	DM1980	2	D3	CO
MBC18A	LRV_8-5_3	DM1980	3	D3	CO
MBC19A	LRV_12_3	DM1960	1	D1	CO
MBC20A	LRV_12_3	DM1960	2	D1	CO
MBC21A	LRV_12_3	DM1960	3	D1	CO
MBC22A	LRV_12_3	DM1960	1	D2	CO
MBC23A	LRV_12_3	DM1960	2	D2	CO
MBC24A	LRV_12_3	DM1960	3	D2	CO
MBC25A	LRV_12_3	DM1960	1	D3	CO
MBC26A	LRV_12_3	DM1960	2	D3	CO
MBC27A	LRV_12_3	DM1960	3	D3	CO
MBC28A	LR2_36_1	DM1900	1	D1	CO
MBC29A	LR2_36_1	DM1900	2	D1	CO
MBC30A	LR2_36_1	DM1900	3	D1	CO
MBC31A	LR2_36_1	DM1900	1	D2	CO
MBC32A	LR2_36_1	DM1900	2	D2	CO
MBC33A	LR2_36_1	DM1900	3	D2	CO
MBC34A	LR2_36_1	DM1900	1	D3	CO
MBC35A	LR2_36_1	DM1900	2	D3	CO
MBC36A-R	LR2_36_1	DM1900	3	D3	CO
MBC1S	LRV_0_1	DM2015	1	D1	CO
MBC2S	LRV_0_1	DM2015	2	D1	CO
MBC3S	LRV_0_1	DM2015	3	D1	CO
MBC4S	LRV_0_1	DM2015	1	D2	CO
MBC5S	LRV_0_1	DM2015	2	D2	CO
MBC6S	LRV_0_1	DM2015	3	D2	CO
MBC7AS	LRV_0_1	DM2015	1	D3	CO
MBC8S	LRV_0_1	DM2015	2	D3	CO
MBC9S	LRV_0_1	DM2015	3	D3	CO
MBC10AS	LRV_8-5_3	DM1980	1	D1	CO
MBC11AS	LRV_8-5_3	DM1980	2	D1	CO
MBC12A	LRV_8.5_3	DM1980	3	D1	CO
MBC13AS	LRV_8-5_3	DM1980	1	D2	CO
MBC14AS	LRV_8-5_3	DM1980	2	D2	CO
MBC15AS	LRV_8-5_3	DM1980	3	D2	CO
MBC16AS	LRV_8-5_3	DM1980	1	D3	CO
MBC17AS	LRV_8-5_3	DM1980	2	D3	CO
MBC18AS	LRV_8-5_3	DM1980	3	D3	CO
