"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"MBA1",40,40,0.246855220726644,40.2100160850679,3.07541890715578,2.31958284960145,0.85399812839079,6.84922726659702,5.95905095258171
"MBA10",26,26,0.49029033784546,26.3228775356875,2.39537779100341,0.747781364934774,0.242815763968986,1.32068253988193,3.60361812416098
"MBA11",58,61,4.17103596047871,59.4734569469139,3.70577039537032,2.64447759070744,0.851495084689649,6.73378384755929,9.24444780685839
"MBA12",32,32,0,32,2.62202212042538,2.09992395013844,0.762514467592593,4.21078282059092,4.58880698940897
"MBA13",43,43,0,43,2.94128590767672,1.78802668520825,0.591216335730915,2.44628170694645,6.48808898480005
"MBA14",34,34,0,34,2.35771574398013,1.52572235777377,0.524530912923448,2.10318615274982,4.92558301696329
"MBA15",31,32,2.31840462387393,32.0058781362007,2.34106484548693,2.01089253361124,0.766663095657653,4.28564869675661,4.4219400262087
"MBA16",40,40,0.493710441453287,40.1890862333009,3.09953378022017,1.85282176215891,0.643582846741638,2.80570110292956,5.95905095258171
"MBA17",25,25,0,25,2.24499443206436,1.10628314043854,0.403867436135674,1.67747923971419,3.44331680957018
"MBA18",35,35,0.246402690152291,35.2703402366864,2.70502743073321,2.35941380416935,0.843861302009911,6.40456218011677,5.09545673511317
"MBA19",58,59,2.33070877413514,58.4871647509579,3.72514273276853,2.5866722819113,0.818157963416848,5.4992784880229,9.24444780685839
"MBA20",44,44.25,0.735365099182743,44.4660194174757,3.26615747988838,1.8429327373574,0.655418739186851,2.90207307745112,6.66617423201909
"MBA21",25,25,0,25,1.83303027798234,1.80022548955387,0.68618314870883,3.18657202723689,3.44331680957018
"MBA22",55,56,2.32992949004287,55.6109770407598,3.39104061700986,2.83452842975384,0.894073026133111,9.4404660446227,8.67915913902584
"MBA23",31,31,0,31,2.60272809728314,1.80791767429122,0.687429247298048,3.19927565632968,4.4219400262087
"MBA24",29,29,0,29,2.30441854435912,1.79755076203064,0.706012177474476,3.40150143434318,4.09134408541167
"MBA25",53,54.5,2.59011883826404,53.8298963318846,3.51619137084259,2.7949034574038,0.88680694057307,8.83446392440286,8.30606111167243
"MBA26",29,29,0.245651842220259,29.3151041666667,2.09004194884934,2.26590446691318,0.814550243095604,5.39229609513873,4.09134408541167
"MBA27",34,37,4.60463925869364,35.3888886272552,2.76639170022387,2.22618306969095,0.832868768422402,5.98332215086744,4.92558301696329
"MBA28",19,19,0,19,2.02614490051791,1.52295465329186,0.689545487312572,3.22108379531536,2.50744993474893
"MBA29",32,32,0.492125492125738,32.3104221001874,2.60310603250726,1.86717124697795,0.72763847505233,3.67159054566219,4.58880698940897
"MBA3",48,48,0.123691063406645,48.2577188607989,3.43294243402979,2.68362813094267,0.901937923181255,10.1976220822691,7.3869231570534
"MBA30.R.x2",12,12,0,12,1.73205080756888,0.984377590171221,0.560295903151566,2.27425672666566,1.48077209411382
"MBA32",29,29,0.163767894813506,29.5455550510335,2.42036126064799,1.88690704052588,0.732737008201974,3.74163288853592,4.09134408541167
"MBA33",23,23,0,23,1.81778651829277,1.60102889599146,0.68758760652954,3.20089734242427,3.12628904929024
"MBA34",27,27,0,27,2.44948974278318,1.76341341598306,0.734803437646845,3.77078794357948,3.76507344444083
"MBA35.R",9,9,0.471404520791032,9.52040816326531,1.36619796463392,1.07386500966442,0.595688941085694,2.47334317959368,1.06747716349967
"MBA36",25,25,0.489897948556636,25.2801263086026,2.37526510431772,2.05714708202412,0.778013481059635,4.50477805937685,3.44331680957018
"MBA5",42,42,0,42,2.76026223736942,2.7641932097566,0.903579335805673,10.3712208203067,6.31086570741535
"MBA6",33,33,0.492365963917331,33.2751862649822,2.18656836122831,2.78076607968925,0.915688810927421,11.8608219264842,4.75669403322537
"MBA7",27,27,0,27,2.01843356939833,2.28637208216594,0.844212645910761,6.41900625276152,3.76507344444083
"MBA8",20,20,0,NA,NA,2.32105046514921,0.861802952390106,7.23604459932333,2.6601657617911
"MBA9",33,33,0,33,2.46182981958665,2.41577350041717,0.863358427180785,7.31841693101016,4.75669403322537
"MBC10A",35,35,0.246402690152291,35.3373514880871,2.84817874877029,1.694914312592,0.615076349507668,2.59791779154376,5.09545673511317
"MBC11A",65,65,0.165379646118945,65.3611653645833,3.60193910754426,3.13897422243906,0.908429316715793,10.9205256981245,10.5888514478654
"MBC12A",29,29,0.245651842220259,29.5329041781131,2.29190574926831,1.97276569507983,0.731485319481823,3.72419116180244,4.09134408541167
"MBC12T",72,83,8.47302594559339,79.0939468775829,4.37875890380278,2.58912065765234,0.837596600799906,6.15750658499407,11.9672005356845
"MBC13A",48,48,0.07068060766094,48.4300978055396,3.39441662115597,2.43011838026721,0.816587386929173,5.45218773811284,7.3869231570534
"MBC14A",55,55.5,1.29513121530788,55.5389721474351,3.4294910085624,2.42232519006699,0.781650737296553,4.57981853301771,8.67915913902584
"MBC15A",35,35,0,35,2.80815140006986,2.04369146962929,0.766674025615148,4.28584945433714,5.09545673511317
